role_head,global_aliases,current_ro_aliases,current_hu_aliases,missing_locales,ro_aliases_to_add,hu_aliases_to_add,global_aliases_to_move_ro,global_aliases_to_move_hu,global_aliases_to_keep,translator_note,note
enameller,emailator; zománcozó; emailija,,,ro;hu,,zománcozó,,zománcozó,emailator; emailija,,
epidemiologist,epidemiolog; epidemioloog,,,ro;hu,,,,,epidemiolog; epidemioloog,,
farrier,potcovar; patkolókovács,,,ro;hu,,patkolókovács,,patkolókovács,potcovar,,
forester,pădurar; erdész; metsamees,,,ro;hu,pădurar,erdész,pădurar,erdész,metsamees,,
gauger,calibrator; mõõtja,,,ro;hu,,,,,calibrator; mõõtja,,
gemmologist,gemolog; drágakőszakértő,,,ro;hu,,drágakőszakértő,,drágakőszakértő,gemolog,,
genealogist,genealógus; genealoog,,,ro;hu,,genealógus,,genealógus,genealoog,,
geneticist,genetician; genetikus; geneetik,,,ro;hu,,,,,genetician; genetikus; geneetik,,
geochemist,geochimist; geokémikus; geokeemik,,,ro;hu,,geokémikus,,geokémikus,geochimist; geokeemik,,
geographer,geograf; geográfus; geograaf,,,ro;hu,,geográfus,,geográfus,geograf; geograaf,,
geophysicist,geofizician; geofizikus; geofüüsik,,,ro;hu,,geofüüsik,,geofüüsik,geofizician; geofizikus,,
geotechnician,geotechnikus; geotehnik,,,ro;hu,,,,,geotechnikus; geotehnik,,
graphologist,grafolog; grafológus; grafoloog,,,ro;hu,,grafológus,,grafológus,grafolog; grafoloog,,
greaser,gresor; zsírozó; määrija,,,ro;hu,,zsírozó,,zsírozó,gresor; määrija,,
groomer,kutyakozmetikus,,,ro;hu,,,,,kutyakozmetikus,,
guardian,gyám; eestkostja,,,ro;hu,,gyám,,gyám,eestkostja,,
hacker,häkker,,,ro;hu,,,,,häkker,,
hairdresser,coafor; fodrász; juuksur,,,ro;hu,,fodrász,,fodrász,coafor; juuksur,,
hawker,rändkaupmees,,,ro;hu,,,,,rändkaupmees,,
headteacher,koolijuht,,,ro;hu,,,,,koolijuht,,
helmsman,cârmaci; kormányos; tüürimees,,,ro;hu,cârmaci,kormányos; tüürimees,cârmaci,kormányos; tüürimees,,,
historian,istoric; történész; ajaloolane,,,ro;hu,,történész,,történész,istoric; ajaloolane,,
housekeeper,menajeră; házvezetőnő; majapidaja,,,ro;hu,menajeră,házvezetőnő,menajeră,házvezetőnő,majapidaja,,
hunter,vânător; vadász; kütt,,,ro;hu,vânător,vadász; kütt,vânător,vadász; kütt,,,
hydrogeologist,hidrogeolog; hidrogeológus; hüdrogeoloog,,,ro;hu,,hidrogeológus; hüdrogeoloog,,hidrogeológus; hüdrogeoloog,hidrogeolog,,
hydrologist,hidrolog; hidrológus; hüdroloog,,,ro;hu,,hidrológus; hüdroloog,,hidrológus; hüdroloog,hidrolog,,
hydrotherapist,hidroterapeut; hidroterapeuta; hüdroterapeut,,,ro;hu,,hüdroterapeut,,hüdroterapeut,hidroterapeut; hidroterapeuta,,
hygienist,igienist; higiénikus; hügieenik,,,ro;hu,,higiénikus; hügieenik,,higiénikus; hügieenik,igienist,,
illustrator,ilustrator; illusztrátor; illustraator,,,ro;hu,,illusztrátor,,illusztrátor,ilustrator; illustraator,,
imagesetter,image setter,,,ro;hu,,,,,image setter,,
immunologist,imunolog; immunológus; immunoloog,,,ro;hu,,immunológus,,immunológus,imunolog; immunoloog,,
interceptor,,,,ro;hu,,,,,,,
interviewer,intervievator; interjúkészítő; intervjueerija,,,ro;hu,,interjúkészítő,,interjúkészítő,intervievator; intervjueerija,,
ironer,călcător; vasaló; triikija,,,ro;hu,călcător,vasaló,călcător,vasaló,triikija,,
ironworker,vasmunkás; rauasepp,,,ro;hu,,vasmunkás,,vasmunkás,rauasepp,,
jeweller,ékszerész; juveliir,,,ro;hu,,ékszerész,,ékszerész,juveliir,,
kinesiologist,kineziolog; kineziológus; kinesioloog,,,ro;hu,,kineziológus,,kineziológus,kineziolog; kinesioloog,,
knitter,tricotator,,,ro;hu,,,,,tricotator,,
landscaper,gardener; peisagist; maastikukujundaja,,,ro;hu,,,,,gardener; peisagist; maastikukujundaja,,
lawyer,avocat; ügyvéd; jurist,,,ro;hu,,ügyvéd,,ügyvéd,avocat; jurist,,
lexicographer,lexicograf; lexikográfus; leksikograaf,,,ro;hu,,lexikográfus,,lexikográfus,lexicograf; leksikograaf,,
librarian,bibliotecar; könyvtáros; raamatukoguhoidja,,,ro;hu,,könyvtáros,,könyvtáros,bibliotecar; raamatukoguhoidja,,
linguist,lingvist; nyelvész,,,ro;hu,,nyelvész,,nyelvész,lingvist,,
lithographer,litograf; litográfus; litograaf,,,ro;hu,,litográfus,,litográfus,litograf; litograaf,,
localiser,localizator; lokalizáló; lokaliseerija,,,ro;hu,,lokalizáló,,lokalizáló,localizator; lokaliseerija,,
lyricist,textier; dalszövegíró,,,ro;hu,,dalszövegíró,,dalszövegíró,textier,,
maintainer,întreținător; karbantartó; hooldustöötaja,,,ro;hu,întreținător,karbantartó; hooldustöötaja,întreținător,karbantartó; hooldustöötaja,,,
manicurist,manichiurist; manikűrös; maniküürija,,,ro;hu,,manikűrös; maniküürija,,manikűrös; maniküürija,manichiurist,,
marker,marcator; jelölő; märgistaja,,,ro;hu,,jelölő,,jelölő,marcator; märgistaja,,
marketer,marketinges; turundaja,,,ro;hu,,,,,marketinges; turundaja,,
mathematician,matematician; matematikus; matemaatik,,,ro;hu,,,,,matematician; matematikus; matemaatik,,
mayor,primar; polgármester; linnapea,,,ro;hu,,polgármester,,polgármester,primar; linnapea,,
mediator,közvetítő; lepitaja,,,ro;hu,,közvetítő,,közvetítő,lepitaja,,
mentor,,,,ro;hu,,,,,,,
merchandiser,árukihelyező; kaubapaigutaja,,,ro;hu,,árukihelyező,,árukihelyező,kaubapaigutaja,,
meteorologist,meteorolog; meteorológus; meteoroloog,,,ro;hu,,meteorológus,,meteorológus,meteorolog; meteoroloog,,
metrologist,metrolog; metrológus; metroloog,,,ro;hu,,metrológus,,metrológus,metrolog; metroloog,,
microbiologist,microbiolog; mikrobiológus; mikrobioloog,,,ro;hu,,mikrobiológus,,mikrobiológus,microbiolog; mikrobioloog,,
miller,morar; malmos; veskimees,,,ro;hu,,,,,morar; malmos; veskimees,,
milliner,pălărier; kalapos; kübarsepp,,,ro;hu,pălărier,kübarsepp,pălărier,kübarsepp,kalapos,,
mineralogist,mineralog; mineralógus,,,ro;hu,,mineralógus,,mineralógus,mineralog,,
mouldmaker,öntőformakészítő; vormimeister,,,ro;hu,,öntőformakészítő,,öntőformakészítő,vormimeister,,
mover,költöztető; kolija,,,ro;hu,,költöztető,,költöztető,kolija,,
musician,muzician; zenész; muusik,,,ro;hu,,zenész,,zenész,muzician; muusik,,
nanoengineer,nanoinginer; nanomérnök,,,ro;hu,,nanomérnök,,nanomérnök,nanoinginer,,
nurse,ápoló; õde,asistent medical,,hu,,ápoló,,ápoló,õde,,
observer,observator; megfigyelő; vaatleja,,,ro;hu,,megfigyelő,,megfigyelő,observator; vaatleja,,
oceanographer,oceanograf; óceánográfus; okeanograaf,,,ro;hu,,óceánográfus,,óceánográfus,oceanograf; okeanograaf,,
oenologist,oenolog; borász; veiniteadlane,,,ro;hu,,borász,,borász,oenolog; veiniteadlane,,
ombudsman,õiguskantsler,,,ro;hu,,,,,õiguskantsler,,
optician,optikus; optik,,,ro;hu,,,,,optikus; optik,,
optometrist,optometrista,,,ro;hu,,,,,optometrista,,
orthoptist,ortoptist; ortoptikus,,,ro;hu,,,,,ortoptist; ortoptikus,,
palaeontologist,paleontolog; paleontológus; paleontoloog,,,ro;hu,,paleontológus,,paleontológus,paleontolog; paleontoloog,,
pawnbroker,zălogar,,,ro;hu,zălogar,,zălogar,,,,
pedicurist,pedichiurist; pedikűrös; pediküürija,,,ro;hu,,pedikűrös; pediküürija,,pedikűrös; pediküürija,pedichiurist,,
pharmacologist,farmacolog; farmakológus; farmakoloog,,,ro;hu,,farmakológus,,farmakológus,farmacolog; farmakoloog,,
phlebotomist,flebotomist,,,ro;hu,,,,,flebotomist,,
photographer,fotograf; fotós; fotograaf,,,ro;hu,,fotós,,fotós,fotograf; fotograaf,,
photojournalist,fotoreporter; fotóriporter; fotoajakirjanik,,,ro;hu,,fotóriporter,,fotóriporter,fotoreporter; fotoajakirjanik,,
physicist,fizician; fizikus; füüsik,,,ro;hu,,füüsik,,füüsik,fizician; fizikus,,
physiologist,fiziolog; fiziológus; füsioloog,,,ro;hu,,fiziológus; füsioloog,,fiziológus; füsioloog,fiziolog,,
plasterer,krohvik,,,ro;hu,,,,,krohvik,,
plumber,vízszerelő; torulukksepp,,,ro;hu,,vízszerelő,,vízszerelő,torulukksepp,,
podiatrist,podológus; podoloog,,,ro;hu,,podológus,,podológus,podoloog,,
porter,hamal; hordár; kandja,,,ro;hu,,hordár,,hordár,hamal; kandja,,
potter,olar; fazekas; pottsepp,,,ro;hu,,,,,olar; fazekas; pottsepp,,
presenter,prezentator; műsorvezető; saatejuht,,,ro;hu,,műsorvezető,,műsorvezető,prezentator; saatejuht,,
printmaker,,,,ro;hu,,,,,,,
processor,procesor; feldolgozó; töötleja,,,ro;hu,,feldolgozó; töötleja,,feldolgozó; töötleja,procesor,,
projectionist,proiecționist; kinoprojektsionist,,,ro;hu,proiecționist,,proiecționist,,kinoprojektsionist,,
promoter,promotor,,,ro;hu,,,,,promotor,,
prompter,sufleur; súgó; suflöör,,,ro;hu,,súgó; suflöör,,súgó; suflöör,sufleur,,
proofreader,corector; korrektor,,,ro;hu,,,,,corector; korrektor,,
prosecutor,procuror; ügyész; prokurör,,,ro;hu,,ügyész; prokurör,,ügyész; prokurör,procuror,,
prototyper,prototipist; prototípusgyártó,,,ro;hu,,prototípusgyártó,,prototípusgyártó,prototipist,,
psychotherapist,psihoterapeut; pszichoterapeuta; psühhoterapeut,,,ro;hu,,psühhoterapeut,,psühhoterapeut,psihoterapeut; pszichoterapeuta,,
puppeteer,păpușar; bábművész,,,ro;hu,păpușar,bábművész,păpușar,bábművész,,,
purchaser,achizitor; beszerző; hankija,,,ro;hu,,beszerző,,beszerző,achizitor; hankija,,
pyrotechnician,pirotehnicist; pirotechnik; pürotehnik,,,ro;hu,,pürotehnik,,pürotehnik,pirotehnicist; pirotechnik,,
receptionist,receptioner,,,ro;hu,,,,,receptioner,,
reporter,riporter,,,ro;hu,,,,,riporter,,
riveter,nituitor; szegecselő; neetija,,,ro;hu,,szegecselő,,szegecselő,nituitor; neetija,,
roofer,acoperișar; tetőfedő; katusepanija,,,ro;hu,acoperișar,tetőfedő,acoperișar,tetőfedő,katusepanija,,
rustproofer,deruginator; rozsdamentesítő,,,ro;hu,,rozsdamentesítő,,rozsdamentesítő,deruginator,,
sailor,madrus; matrose,,,ro;hu,,,,,madrus; matrose,,
scaffolder,schelar; állványozó,,,ro;hu,,állványozó,,állványozó,schelar,,
scheduler,ütemező,,,ro;hu,,ütemező,,ütemező,,,
scopist,,,,ro;hu,,,,,,,
sculptor,szobrász; skulptor,,,ro;hu,,szobrász,,szobrász,skulptor,,
seaman,meremees,,,ro;hu,,,,,meremees,,
seismologist,seismolog; szeizmológus; seismoloog,,,ro;hu,,szeizmológus,,szeizmológus,seismolog; seismoloog,,
senator,legislator,,,ro;hu,,,,,legislator,,
shipbroker,hajóügynök; laevamaakler,,,ro;hu,,hajóügynök,,hajóügynök,laevamaakler,,
shoemaker,cizmar; cipész; kingsepp,,,ro;hu,,cipész,,cipész,cizmar; kingsepp,,
shopper,vásárló,,,ro;hu,,vásárló,,vásárló,,,
shotfirer,robbantó; lõhkaja,,,ro;hu,,robbantó,,robbantó,lõhkaja,,
shunter,manevrist; tolató; manööverdaja,,,ro;hu,,tolató; manööverdaja,,tolató; manööverdaja,manevrist,,
singer,cântăreț; énekes; laulja,,,ro;hu,cântăreț,énekes,cântăreț,énekes,laulja,,
sitter,gyermekfelügyelő,,,ro;hu,,gyermekfelügyelő,,gyermekfelügyelő,,,
skipper,comandant; laevajuht,,,ro;hu,,,,,comandant; laevajuht,,
slaughterer,,,,ro;hu,,,,,,,
sociologist,sociolog; szociológus; sotsioloog,,,ro;hu,,szociológus,,szociológus,sociolog; sotsioloog,,
solderer,forrasztó; jootja,,,ro;hu,,forrasztó,,forrasztó,jootja,,
sophrologist,szofrológus; sophroloog,,,ro;hu,,szofrológus,,szofrológus,sophroloog,,
speechwriter,beszédíró; kõnekirjutaja,,,ro;hu,,beszédíró,,beszédíró,kõnekirjutaja,,
statistician,statisztikus; statistik,,,ro;hu,,,,,statisztikus; statistik,,
stylist,stilist,,,ro;hu,,,,,stilist,,
subtitler,subtitrator; feliratozó; subtiitritegija,,,ro;hu,,feliratozó,,feliratozó,subtitrator; subtiitritegija,,
tailor,rätsep,,,ro;hu,,,,,rätsep,,
tanner,tăbăcar; cserző,,,ro;hu,tăbăcar,cserző,tăbăcar,cserző,,,
taxidermist,preparator; kitömő; taksidermist,,,ro;hu,,kitömő,,kitömő,preparator; taksidermist,,
teller,kassapidaja,,,ro;hu,,,,,kassapidaja,,
toxicologist,toxicolog; toxikológus; toksikoloog,,,ro;hu,,toxikológus,,toxikológus,toxicolog; toksikoloog,,
toymaker,játékkészítő,,,ro;hu,,játékkészítő,,játékkészítő,,,
transcriptionist,transcriptor; leíró; transkribeerija,,,ro;hu,,leíró,,leíró,transcriptor; transkribeerija,,
transporter,transportator; szállító; transportija,,,ro;hu,,szállító,,szállító,transportator; transportija,,
treasurer,trezorier; pénztárnok; varahoidja,,,ro;hu,,pénztárnok,,pénztárnok,trezorier; varahoidja,,
turner,strungar; esztergályos; treial,,,ro;hu,,esztergályos,,esztergályos,strungar; treial,,
tutor,magántanár; juhendaja,,,ro;hu,,magántanár,,magántanár,juhendaja,,
typesetter,culegător; szedő; laduja,,,ro;hu,culegător,szedő,culegător,szedő,laduja,,
typist,dactilograf; gépíró; masinakirjutaja,,,ro;hu,,gépíró,,gépíró,dactilograf; masinakirjutaja,,
usher,ușier; teremőr; saaliteenindaja,,,ro;hu,ușier,teremőr,ușier,teremőr,saaliteenindaja,,
valuer,valuator,,,ro;hu,,,,,valuator,,
verger,templomszolga; kirikuteenija,,,ro;hu,,,,,templomszolga; kirikuteenija,,
vlogger,vlogija,,,ro;hu,,,,,vlogija,,
waitress,ospătară; pincérnő; ettekandja,,,ro;hu,ospătară,pincérnő,ospătară,pincérnő,ettekandja,,
watchmaker,ceasornicar; kellassepp,,,ro;hu,,,,,ceasornicar; kellassepp,,
weaver,țesător; szövő,,,ro;hu,țesător,szövő,țesător,szövő,,,
webmaster,webmester; veebihaldur,,,ro;hu,,,,,webmester; veebihaldur,,
woodcarver,faszobrász; puidunikerdaja,,,ro;hu,,faszobrász,,faszobrász,puidunikerdaja,,
woodturner,faesztergályos; puidutreial,,,ro;hu,,faesztergályos,,faesztergályos,puidutreial,,
zookeeper,állatgondozó; loomaaednik,,,ro;hu,,állatgondozó,,állatgondozó,loomaaednik,,
picker,selector; válogató; korjaja,,,ro;hu,,válogató,,válogató,selector; korjaja,,
adjuster,constatator de daune; kárszakértő; kahjukäsitleja,,,ro;hu,,kárszakértő,,kárszakértő,constatator de daune; kahjukäsitleja,,
aide,segéd,,,ro;hu,,segéd,,segéd,,,
anchor,prezentator de știri; híradós; uudisteankur,,,ro;hu,prezentator de știri,híradós,prezentator de știri,híradós,uudisteankur,,
appraiser,értékbecslő,,,ro;hu,,értékbecslő,,értékbecslő,,,
astronaut,űrhajós,,,ro;hu,,űrhajós,,űrhajós,,,
bailiff,executor judecătoresc; végrehajtó; kohtutäitur,,,ro;hu,executor judecătoresc,végrehajtó,executor judecătoresc,végrehajtó,kohtutäitur,,
barista,,,,ro;hu,,,,,,,
biotechnologist,biotehnolog; biotechnológus; biotehnoloog,,,ro;hu,,biotechnológus,,biotechnológus,biotehnolog; biotehnoloog,,
blacksmith,sepp,,,ro;hu,,,,,sepp,,
boatswain,șef de echipaj; fedélzetmester; bosun; bo'sun,,,ro;hu,șef de echipaj,fedélzetmester,șef de echipaj,fedélzetmester,bosun; bo'sun,,
bodyguard,gardă de corp; testőr; ihukaitsja,,,ro;hu,gardă de corp,testőr,gardă de corp,testőr,ihukaitsja,,
caller,operator de apeluri; hívó; helistaja; telecaller,,,ro;hu,,hívó,,hívó,operator de apeluri; helistaja; telecaller,,
canvasser,agent electoral; kampányoló; kampaaniatöötaja,,,ro;hu,,kampányoló; kampaaniatöötaja,,kampányoló; kampaaniatöötaja,agent electoral,,
captain,căpitan; kapitány; kapten,,,ro;hu,căpitan,kapitány,căpitan,kapitány,kapten,,
carpenter,,,,ro;hu,,,,,,,
chauffeur,șofer; erajuht,,,ro;hu,șofer,,șofer,,erajuht,,
colourist,colorist,,,ro;hu,,,,,colorist,,
commissioner,comisar; biztos; komissar,,,ro;hu,,,,,comisar; biztos; komissar,,
concierge,portás; uksehoidja,,,ro;hu,,portás,,portás,uksehoidja,,
councillor,councilor,,,ro;hu,,,,,councilor,,
courier,curier; futár; kuller,,,ro;hu,,futár,,futár,curier; kuller,,
critic,kritikus; kriitik,,,ro;hu,,,,,kritikus; kriitik,,
detective,detectiv; detektív; detektiiv,,,ro;hu,,detektív,,detektív,detectiv; detektiiv,,
diplomat,diplomata; diplomaat,,,ro;hu,,,,,diplomata; diplomaat,,
examiner,examinator; vizsgáztató; eksamineerija,,,ro;hu,,vizsgáztató,,vizsgáztató,examinator; eksamineerija,,
farmer,fermier; gazdálkodó; põllumees,,,ro;hu,,gazdálkodó,,gazdálkodó,fermier; põllumees,,
forecaster,prognozator; előrejelző; prognoosija,,,ro;hu,,előrejelző,,előrejelző,prognozator; prognoosija,,
glazier,geamgiu; üvegező; klaasija,,,ro;hu,,üvegező,,üvegező,geamgiu; klaasija,,
homeopath,homeopat; homeopata; homöopaat,,,ro;hu,,homöopaat,,homöopaat,homeopat; homeopata,,
integrator,,,,ro;hu,,,,,,,
jointer,,,,ro;hu,,,,,,,
judge,,,,ro;hu,,,,,,,
laminator,lamináló; lamineerija,,,ro;hu,,lamináló,,lamináló,lamineerija,,
layer,,,,ro;hu,,,,,,,
manufacturer,gyártó,,,ro;hu,,gyártó,,gyártó,,,
marshaller,mareșal; maršall; marssal,,,ro;hu,mareșal,,mareșal,,maršall; marssal,,
midwife,moașă; szülésznő; ämmaemand,,,ro;hu,moașă,szülésznő,moașă,szülésznő,ämmaemand,,
miner,bányász; kaevur,,,ro;hu,,bányász,,bányász,kaevur,,
model,,,,ro;hu,,,,,,,
notary,közjegyző,,,ro;hu,,közjegyző,,közjegyző,,,
official,,,,ro;hu,,,,,,,
organiser,organizer,,,ro;hu,,,,,organizer,,
osteopath,osteopat; oszteopata; osteopaat,,,ro;hu,,,,,osteopat; oszteopata; osteopaat,,
paramedic,mentőtiszt; parameedik,,,ro;hu,,mentőtiszt,,mentőtiszt,parameedik,,
performer,előadóművész; esineja,,,ro;hu,,előadóművész,,előadóművész,esineja,,
presser,,,,ro;hu,,,,,,,
publisher,kiadó; kirjastaja,,,ro;hu,,kiadó,,kiadó,kirjastaja,,
repetiteur,répétiteur,,,ro;hu,,répétiteur,,répétiteur,,,
responder,intervenient; beavatkozó; reageerija,,,ro;hu,,beavatkozó,,beavatkozó,intervenient; reageerija,,
setter,pregatitor,,,ro;hu,,,,,pregatitor,,
sorter,sortator; sorteerija,,,ro;hu,,,,,sortator; sorteerija,,
spinner,filator; fonó; ketraja,,,ro;hu,,fonó,,fonó,filator; ketraja,,
superintendent,ülem,,,ro;hu,,ülem,,ülem,,,
surgeon,chirurg; sebész; kirurg,,,ro;hu,,sebész,,sebész,chirurg; kirurg,,
trustee,hooldaja,,,ro;hu,,,,,hooldaja,,
vulcaniser,vulcanizer,,,ro;hu,,,,,vulcanizer,,
athlete,sportiv; sportoló; sportlane,,,ro;hu,,sportoló,,sportoló,sportiv; sportlane,,
blender,,,,ro;hu,,,,,,,
caster,,,,ro;hu,,,,,,,
chaplain,capelan; tábori lelkész; kaplan,,,ro;hu,,tábori lelkész,,tábori lelkész,capelan; kaplan,,
checker,,,,ro;hu,,,,,,,
comedian,komikus; koomik,,,ro;hu,,,,,komikus; koomik,,
commander,parancsnok; komandör,,,ro;hu,,komandör,,komandör,parancsnok,,
compiler,compilator; összeállító,,,ro;hu,,összeállító,,összeállító,compilator,,
consul,konzul; konsul,,,ro;hu,,,,,konzul; konsul,,
corporal,caporal; tizedes; kapral,,,ro;hu,,,,,caporal; tizedes; kapral,,
correspondent,corespondent; tudósító; korrespondent,,,ro;hu,,tudósító,,tudósító,corespondent; korrespondent,,
deckhand,deckman,,,ro;hu,,,,,deckman,,
describer,,,,ro;hu,,,,,,,
entrepreneur,ettevõ,,,ro;hu,,,,,ettevõ,,
general,tábornok; kindral,,,ro;hu,,tábornok,,tábornok,kindral,,
grinder,rectificator,,,ro;hu,,,,,rectificator,,
investor,investitor; befektető,,,ro;hu,,befektető,,befektető,investitor,,
lieutenant,locotenent; hadnagy; leitnant,,,ro;hu,,,,,locotenent; hadnagy; leitnant,,
major,maior; őrnagy,,,ro;hu,,őrnagy,,őrnagy,maior,,
minister,ministru; miniszter,,,ro;hu,,,,,ministru; miniszter,,
nanny,dădacă; lapsehoidja,,,ro;hu,dădacă,,dădacă,,lapsehoidja,,
principal,iskolaigazgató; koolidirektor,,,ro;hu,,iskolaigazgató,,iskolaigazgató,koolidirektor,,
ranger,pargivaht,,,ro;hu,,,,,pargivaht,,
reader,,,,ro;hu,,,,,,,
screener,,,,ro;hu,,,,,,,
sweeper,,,,ro;hu,,,,,,,
valet,inas; toapoiss,,,ro;hu,,,,,inas; toapoiss,,
beveller,teșitor; ferdítő; faasija; beveler,,,ro;hu,teșitor,ferdítő,teșitor,ferdítő,faasija; beveler,,
bleacher,,,,ro;hu,,,,,,,
blower,,,,ro;hu,,,,,,,
boss,șef; főnök; ülemus,,,ro;hu,șef,főnök; ülemus,șef,főnök; ülemus,,,
brander,,,,ro;hu,,,,,,,
burner,,,,ro;hu,,,,,,,
canner,konzerváló; konserveerija,,,ro;hu,,konzerváló,,konzerváló,konserveerija,,
capitalist,kapitalista; kapitalist,,,ro;hu,,,,,kapitalista; kapitalist,,
carrier,,,,ro;hu,,,,,,,
caulker,calafatuitor; tömítő; tihendaja,,,ro;hu,,tömítő,,tömítő,calafatuitor; tihendaja,,
choirmaster,choirmistress,,,ro;hu,,,,,choirmistress,,
chipper,,,,ro;hu,,,,,,,
closer,,,,ro;hu,,,,,,,
colonel,ezredes; kolonel,,,ro;hu,,,,,ezredes; kolonel,,
companion,,,,ro;hu,,,,,,,
coppersmith,aramar; vasesepp; tinichigiu,,,ro;hu,,,,,aramar; vasesepp; tinichigiu,,
dean,decan; dékán; dekaan,,,ro;hu,,dékán,,dékán,decan; dekaan,,
derrickhand,operator de sondă; fúrótorony-kezelő; puurtorni töötaja,,,ro;hu,operator de sondă,fúrótorony-kezelő; puurtorni töötaja,operator de sondă,fúrótorony-kezelő; puurtorni töötaja,,,
digger,,,,ro;hu,,,,,,,
doorman,doorwoman,,,ro;hu,,,,,doorwoman,,
distiller,distilator; párlatkészítő; destilleerija,,,ro;hu,,párlatkészítő,,párlatkészítő,distilator; destilleerija,,
dramaturge,,,,ro;hu,,,,,,,
dyer,värvija,,,ro;hu,,,,,värvija,,
enumerator,recenzor; összeíró; loendaja,,,ro;hu,,összeíró,,összeíró,recenzor; loendaja,,
estimator,becslő,,,ro;hu,,becslő,,becslő,,,
extra,figurant; statiszta; taustanäitleja,,,ro;hu,,,,,figurant; statiszta; taustanäitleja,,
extractor,,,,ro;hu,,,,,,,
fermenter,fermentator; fermentáló; kääritaja,,,ro;hu,,fermentáló,,fermentáló,fermentator; kääritaja,,
firer,,,,ro;hu,,,,,,,
goldsmith,aurar; aranyműves; kullassepp,,,ro;hu,,aranyműves,,aranyműves,aurar; kullassepp,,
groom,îngrijitor de cai; lovász; tallimees,,,ro;hu,îngrijitor de cai,lovász,îngrijitor de cai,lovász,tallimees,,
groundsman,groundswoman,,,ro;hu,,,,,groundswoman,,
gunsmith,armurier; fegyverműves; relvasepp,,,ro;hu,,fegyverműves,,fegyverműves,armurier; relvasepp,,
hand,muncitor manual; kézi munkás; käsitööline,,,ro;hu,,kézi munkás; käsitööline,,kézi munkás; käsitööline,muncitor manual,,
handyperson,om bun la toate; ezermester; meistrimees,,,ro;hu,,,,,om bun la toate; ezermester; meistrimees,,
justice,,,,ro;hu,,,,,,,
jockey,jocheu; zsoké; žoki,,,ro;hu,,zsoké,,zsoké,jocheu; žoki,,
keeper,,,,ro;hu,,,,,,,
locksmith,lăcătuș; lakatosember; lukksepp,,,ro;hu,lăcătuș,,lăcătuș,,lakatosember; lukksepp,,
logger,exploatator forestier; erdőmunkás; metsatööline,,,ro;hu,,erdőmunkás; metsatööline,,erdőmunkás; metsatööline,exploatator forestier,,
masseur,masseuse,,,ro;hu,,,,,masseuse,,
member,,,,ro;hu,,,,,,,
missionary,misionar; misszionárius; misjonär,,,ro;hu,,misszionárius,,misszionárius,misionar; misjonär,,
motorhand,operator de echipamente de foraj; fúrómunkás; puurimistööline,,,ro;hu,,fúrómunkás; puurimistööline,,fúrómunkás; puurimistööline,operator de echipamente de foraj,,
mounter,,,,ro;hu,,,,,,,
negotiator,negociator; tárgyaló; läbirääkija,,,ro;hu,,tárgyaló,,tárgyaló,negociator; läbirääkija,,
neutraliser,neutralizator; semlegesítő; neutraliseerija; neutralizer,,,ro;hu,,semlegesítő,,semlegesítő,neutralizator; neutraliseerija; neutralizer,,
orthotist,ortezist; ortetikus; ortoosimeister,,,ro;hu,,,,,ortezist; ortetikus; ortoosimeister,,
prosthetist,,,,ro;hu,,,,,,,
packer,ambalator; csomagoló; pakkija,,,ro;hu,,csomagoló,,csomagoló,ambalator; pakkija,,
au pair,,,,ro;hu,,,,,,,
paperhanger,tapetar; tapétázó; tapeetija,,,ro;hu,,tapétázó,,tapétázó,tapetar; tapeetija,,
papermaker,hârtier; papírgyártó; paberitootja,,,ro;hu,hârtier,papírgyártó,hârtier,papírgyártó,paberitootja,,
pedagogue,pedagog; pedagoog,,,ro;hu,,,,,pedagog; pedagoog,,
pedicure,,,,ro;hu,,,,,,,
pelletiser,peletizator; pelletizáló; pelletiseerija; pelletizer,,,ro;hu,,pelletizáló,,pelletizáló,peletizator; pelletiseerija; pelletizer,,
person,,,,ro;hu,,,,,,,
pizzaiolo,pizzaszakács; pitsameister; pizzamaker,,,ro;hu,,pizzaszakács,,pizzaszakács,pitsameister; pizzamaker,,
planer,,,,ro;hu,,,,,,,
postman,postwoman,,,ro;hu,,,,,postwoman,,
preparer,,,,ro;hu,,,,,,,
professional,,,,ro;hu,,,,,,,
psychic,clarvăzător; jós; selgeltnägija,,,ro;hu,clarvăzător,jós,clarvăzător,jós,selgeltnägija,,
pusher,,,,ro;hu,,,,,,,
reproducer,,,,ro;hu,,,,,,,
roughneck,muncitor de sondă; olajipari munkás; naftatööline,,,ro;hu,muncitor de sondă,olajipari munkás; naftatööline,muncitor de sondă,olajipari munkás; naftatööline,,,
roustabout,muncitor auxiliar de sondă; olajipari segédmunkás; naftatööstuse abitööline,,,ro;hu,muncitor auxiliar de sondă,olajipari segédmunkás; naftatööstuse abitööline,muncitor auxiliar de sondă,olajipari segédmunkás; naftatööstuse abitööline,,,
sander,,,,ro;hu,,,,,,,
scholar,cercetător; teadlane,,,ro;hu,cercetător,,cercetător,,teadlane,,
sergeant,sergent; őrmester; seersant,,,ro;hu,,őrmester,,őrmester,sergent; seersant,,
servicer,,,,ro;hu,,,,,,,
sewer,,,,ro;hu,,,,,,,
sexer,,,,ro;hu,,,,,,,
shepherd,păstor; juhász; karjus,,,ro;hu,păstor,juhász,păstor,juhász,karjus,,
