enforcement_task,enforcement,task,aplicare a legii,jogérvényesítés
engine_product,engine,product,motor,motor
engine_work_object,engine,work_object,motor,motor
engineered_wood_board_work_object,engineered wood board,work_object,placă din lemn prelucrat,faalapú lemez
engineering,engineering,knowledge_domain,inginerie,mérnöki tudományok
engines_product,engines,product,motoare,motorok
engines_work_object,engines,work_object,motoare,motorok
engraving_task,engraving,task,gravare,gravírozás
enterprise_work_object,enterprise,work_object,întreprindere,vállalat
entertainment_task,entertainment,task,divertisment,szórakoztatás
entry,entry,task,intrare,belépés
envelope_work_object,envelope,work_object,plic,boríték
environment_task,environment,task,mediu înconjurător,környezetvédelem
environmental,environmental,industry,mediu,környezetvédelmi
equality_task,equality,task,egalitate,egyenlőség
equine,equine,population,ecvine,lovak
equipment_product,equipment,product,echipament,felszerelés
equipment_task,equipment,task,echipamente,berendezéskezelés
equipment_work_object,equipment,work_object,echipament,felszerelés
erosion_task,erosion,task,eroziune,erózió
establishment_task,establishment,task,înființare,alapítás
estate_industry,estate,industry,imobiliare,ingatlanipar
ethical,ethical,industry,etic,etikai
eu,eu,industry,UE,EU
evaluation_task,evaluation,task,evaluare,értékelés
event,event,industry,evenimente,rendezvényipar
excavator_work_object,excavator,work_object,excavator,kotrógép
exchange_knowledge_domain,exchange,knowledge_domain,schimburi valutare,tőzsde
exchange_product,exchange,product,schimb,tőzsde
excise_work_object,excise,work_object,accize,jövedéki adó
exhibition_task,exhibition,task,expoziție,kiállítás
experience_work_object,experience,work_object,experiență,élmény
exploration_task,exploration,task,explorare,kutatás
export,export,task,export,export
extract_work_object,extract,work_object,extras,kivonat
extraction_task,extraction,task,extracție,kitermelés
extrusion_task,extrusion,task,extrudare,extrudálás
eyewear_product,eyewear,product,ochelari,szemüveg
facility,facility,venue,facilitate,létesítmény
factory,factory,venue,fabrică,gyár
faculty_work_object,faculty,work_object,facultate,kar
family_industry,family,industry,familie,család
fare_work_object,fare,work_object,tarif,viteldíj
farm,farm,venue,fermă,farm
fashion,fashion,industry,modă,divat
fat_task,fat,task,grăsimi,zsírkezelés
fat_purification_task,fat-purification,task,purificare grăsimi,zsírtisztítás
feed_knowledge_domain,feed,knowledge_domain,furaje,takarmányozás
feed_product,feed,product,furaj,takarmány
feed_work_object,feed,work_object,furaj,takarmány
fermentation_task,fermentation,task,fermentare,erjesztés
fertiliser_work_object,fertiliser,work_object,îngrășământ,műtrágya
fibre_work_object,fibre,work_object,fibră,szál
fibre_machine_work_object,fibre machine,work_object,mașină de fibre,szálfeldolgozó gép
fibreglass_work_object,fibreglass,work_object,fibră de sticlă,üvegszál
field_survey_work_object,field survey,work_object,studiu de teren,terepdemérés
fight_knowledge_domain,fight,knowledge_domain,luptă,harc
filament_task,filament,task,filamente,szálkészítés
file_work_object,file,work_object,pilă,reszelő
filigree_work_object,filigree,work_object,filigran,filigrán
filing_task,filing,task,îndosariere,reszelés
filling_task,filling,task,umplere,töltés
filtration_task,filtration,task,filtrare,szűrés
finance_industry,finance,industry,finanțe,pénzügyi szektor
financial,financial,industry,financiar,pénzügyi
fine_knowledge_domain,fine,knowledge_domain,fin,finom
finished_leather_work_object,finished leather,work_object,piele finisată,készbőr
finishing,finishing,task,finisare,finiselés
fire_work_object,fire,work_object,incendiu,tűz
fireplace_work_object,fireplace,work_object,șemineu,kandalló
firework_work_object,firework,work_object,artificii,tűzijáték
first_aid_knowledge_domain,first aid,knowledge_domain,prim ajutor,elsősegély
fiscal_industry,fiscal,industry,fiscal,fiskális
fish_product,fish,product,pește,hal
fish_work_object,fish,work_object,pește,hal
fish_crustacean_knowledge_domain,fish crustacean,knowledge_domain,pești și crustacee,halak és rákok
fish_crustacean_product,fish crustacean,product,pești și crustacee,halak és rákok
fisheries,fisheries,industry,pescuit,halászat
fishing_task,fishing,task,pescuit,halászat
fitness_knowledge_domain,fitness,knowledge_domain,fitness,fitnesz
flexographic_industry,flexographic,industry,flexografie,flexo-nyomtatás


concept_id,canonical,dimension,ro,hu
flight_knowledge_domain,flight,knowledge_domain,zbor,repülés
flight_work_object,flight,work_object,zbor,repülés
floor_product,floor,product,podea,padló
flotation_task,flotation,task,flotație,flotáció
flour_purifier_work_object,flour purifier,work_object,purificator de făină,liszttisztító
flow,flow,task,flux,áramlás
flower_knowledge_domain,flower,knowledge_domain,flori,virágok
flower_product,flower,product,floare,virág
flowers_product,flowers,product,flori,virágok
fluid_power_work_object,fluid power,work_object,energie hidraulică,folyadékenergia
flying_task,flying,task,zbor,repülés
foam_rubber_work_object,foam rubber,work_object,cauciuc spumă,habgumi
folding_task,folding,task,pliere,hajtogatás
followspot_work_object,followspot,work_object,proiector de urmărire,fejgép
food_knowledge_domain,food,knowledge_domain,alimentație,élelmiszer
food_product,food,product,produs alimentar,élelmiszer
food_work_object,food,work_object,alimente,élelmiszer
foot_industry,foot,industry,podologie,lábápolási ipar
football_knowledge_domain,football,knowledge_domain,fotbal,labdarúgás
footwear_knowledge_domain,footwear,knowledge_domain,încălțăminte,lábbeli
footwear_product,footwear,product,încălțăminte,lábbeli
footwear_work_object,footwear,work_object,încălțăminte,lábbeli
footwear_3d_work_object,footwear 3d,work_object,încălțăminte 3D,3D lábbeli
footwear_product_work_object,footwear product,work_object,produs de încălțăminte,lábbelitermék
force_industry,force,industry,forțe de ordine,rendvédelmi ipar
forecast_work_object,forecast,work_object,prognoză,előrejelzés
foreclosure_knowledge_domain,foreclosure,knowledge_domain,executare silită,végrehajtás
foreign,foreign,knowledge_domain,străin,külföldi
foreign_language,foreign language,knowledge_domain,limbă străină,idegen nyelv
forensics_industry,forensic,industry,medicină legală,igazságügyi ipar
forest_work_object,forest,work_object,pădure,erdő
forestry,forestry,industry,silvicultură,erdészet
forge_work_object,forge,work_object,forjă,kovácsműhely
forging_task,forging,task,forjare,kovácsolás
forklift_work_object,forklift,work_object,motostivuitor,targonca
forming_task,forming,task,formare,formázás
forwarding_task,forwarding,task,expediere,tmányozás
fossil_fuel_power_work_object,fossil fuel power,work_object,energie fosilă,fosszilis energia
foster_task,foster,task,plasament familial,nevelőszülői gondoskodás
foundry_work_object,foundry,work_object,turnătorie,öntöde
fragrance_work_object,fragrance,work_object,parfum,illatanyag
frame_work_object,frame,work_object,cadru,keret
fraud_industry,fraud,industry,prevenire fraudă,csaláselleni ipar
freight_work_object,freight,work_object,marfă,teheráru
freinet_knowledge_domain,freinet,knowledge_domain,pedagogie Freinet,Freinet-pedagógia
frequency_knowledge_domain,frequency,knowledge_domain,frecvență,frekvencia
front_work_object,front,work_object,front,előlap
front_line_industry,front line,industry,prima linie,első vonalbeli ipar
froth_work_object,froth,work_object,spumă,hab
fruit_knowledge_domain,fruit,knowledge_domain,fructe,gyümölcsök
fruit_product,fruit,product,fruct,gyümölcs
fruit_work_object,fruit,work_object,fructe,gyümölcsök
fuel_product,fuel,product,combustibil,üzemanyag
fuel_work_object,fuel,work_object,combustibil,üzemanyag
fund_industry,fund,industry,fonduri de investiții,befektetési alapipar
fund_product,fund,product,fond,alap
funding_task,funding,task,finanțare,finanszírozás
fundraising_task,fundraising,task,strângere de fonduri,adománygyűjtés
funds_product,funds,product,fonduri,alapok
funeral_industry,funeral,industry,servicii funerare,temetkezési ipar
fur_work_object,fur,work_object,blană,szőrme
furnace_product,furnace,product,cuptor industrial,kemence
furnace_work_object,furnace,work_object,cuptor industrial,kemence
furniture_knowledge_domain,furniture,knowledge_domain,mobilier,bútoripar
furniture_product,furniture,product,mobilă,bútor
furniture_work_object,furniture,work_object,mobilier,bútor
furniture_carpet_knowledge_domain,furniture carpet,knowledge_domain,mobilier și covoare,bútor és szőnyeg
furniture_carpet_product,furniture carpet,product,mobilier și covoare,bútor és szőnyeg
further_knowledge_domain,further,knowledge_domain,educație continuă,továbbképzés
future_product,future,product,produs viitor,jövőbeli termék
gallery_knowledge_domain,gallery,knowledge_domain,galerie de artă,galéria
gambling_task,gambling,task,jocuri de noroc,szerencsejáték
game_work_object,game,work_object,joc,játék
games_product,games,product,jocuri,játékok
gaming_task,gaming,task,gaming,gaming
garage_work_object,garage,work_object,garaj,garázs
garden,garden,venue,grădină,kert
gas_product,gas,product,gaz,gáz
gas_work_object,gas,work_object,gaz,gáz
gas_turbine_work_object,gas turbine,work_object,turbină cu gaz,gázturbina
gate_work_object,gate,work_object,poartă,kapu
gear_work_object,gear,work_object,angrenaj,fogaskerék
generation_task,generation,task,generare,generálás
geographic_industry,geographic,industry,geografic,földrajzi
geography,geography,knowledge_domain,geografie,földrajz
geological_industry,geological,industry,geologic,geológiai ipar
geology,geology,knowledge_domain,geologie,geológia
geotechnical_industry,geotechnical,industry,geotehnică,geotechnikai ipar
geothermal_industry,geothermal,industry,geotermal,geotermikus ipar
germination_task,germination,task,germinare,csíráztatás
gerontology_knowledge_domain,gerontology,knowledge_domain,gerontologie,gerontológia
gifted_knowledge_domain,gifted,knowledge_domain,supradotați,tehetséggondozás
glass_knowledge_domain,glass,knowledge_domain,sticlărie,üvegipar
glass_work_object,glass,work_object,sticlă,üveg
glassware_product,glassware,product,articole din sticlă,üvegáru
glove_work_object,glove,work_object,mănușă,kesztyű
golf_knowledge_domain,golf,knowledge_domain,golf,golf
good_knowledge_domain,good,knowledge_domain,bunuri,javak
good_product,good,product,bun,áru
goods_product,goods,product,bunuri,áruk
government,government,industry,guvernamental,kormányzati szektor
grading,grading,task,clasificare,osztályozás
grant_work_object,grant,work_object,subvenție,támogatás
granulator_work_object,granulator,work_object,granulator,granuláló
graphic_industry,graphic,industry,grafică,grafikai ipar
gravure_work_object,gravure,work_object,gravură,mélynyomás
green,green,industry,ecologic,zöldipar
grill_work_object,grill,work_object,grătar,grill
grinding_task,grinding,task,rectificare,csiszolás
ground_work_object,ground,work_object,teren,talaj
groundwater_work_object,groundwater,work_object,apă subterană,talajvíz
guest,guest,population,oaspete,vendég
guests,guests,population,oaspeți,vendégek
guitar_work_object,guitar,work_object,chitară,gitár
hair_work_object,hair,work_object,păr,haj
hairdressing_task,hairdressing,task,coafură,fodrászat
hairpiece_work_object,hairpiece,work_object,perucă parțială,hajpótlás
halal_industry,halal,industry,halal,halal ipar
hall,hall,venue,sală,csarnok
hammer_work_object,hammer,work_object,ciocan,kalapács
handling,handling,task,manipulare,anyagmozgatás
harbor,harbor,venue,port,kikötő
harbour,harbour,venue,port,kikötő
hardware_knowledge_domain,hardware,knowledge_domain,hardware,hardver
hardware_product,hardware,product,hardware,hardver
hardware_work_object,hardware,work_object,hardware,hardver
harp_work_object,harp,work_object,harpă,harfa
harpsichord_work_object,harpsichord,work_object,clavecin,csembaló
harvest_work_object,harvest,work_object,recoltă,betakarítás
harvesting_task,harvesting,task,recoltare,betakarítás
hatchery,hatchery,venue,stație de incubație,keltető
hazardou_work_object,hazardou,work_object,substanță periculoasă,veszélyes anyag
hazardou_waste_work_object,hazardou waste,work_object,deșeuri periculoase,veszélyes hulladék
health,health,industry,sănătate,egészségügy
healthcare,healthcare,industry,servicii de sănătate,egészségügyi szektor
hearse_work_object,hearse,work_object,mașină funerară,halottaskocsi
heat_work_object,heat,work_object,căldură,hő
heating_task,heating,task,încălzire,fűtés
heel_work_object,heel,work_object,toc,sarok
helicopter_work_object,helicopter,work_object,elicopter,helikopter
help_channel,help,channel,asistență,segítségnyújtási csatorna
help,help,task,ajutor,segítség
help_desk,help desk,channel,helpdesk,helpdesk
herbal_industry,herbal,industry,plante medicinale,gyógynövényipar
hide_work_object,hide,work_object,piei neprelucrate,nyersbőr
hide_skin_knowledge_domain,hide skin,knowledge_domain,piei și blănuri,bőr és szőrme
hide_skin_product,hide skin,product,piei și blănuri,bőr és szőrme
high_work_object,high,work_object,înalt,magas
higher_knowledge_domain,higher,knowledge_domain,învățământ superior,felsőoktatás
history,history,knowledge_domain,istorie,történelem
home,home,venue,acasă,otthon
homelessness_work_object,homelessness,work_object,lipsa adăpostului,hajléktalanság
homologation_task,homologation,task,omologare,homologáció
horse_knowledge_domain,horse,knowledge_domain,cai,lovagolás
horticulture_task,horticulture,task,horticultură,kertészet
hospital,hospital,venue,spital,kórház
hospitality,hospitality,industry,ospitalitate,vendéglátás
hostel,hostel,venue,hostel,hostel
hot_foil_work_object,hot foil,work_object,folie la cald,melegfólia
hotel,hotel,venue,hotel,szálloda
house,house,venue,casă,ház
household_product,household,product,produs casnic,háztartási cikk
household_work_object,household,work_object,gospodărie,háztartás
household_appliance_knowledge_domain,household appliance,knowledge_domain,electrocasnice,háztartási gépek
household_appliance_product,household appliance,product,electrocasnic,háztartási gép
household_good_knowledge_domain,household good,knowledge_domain,bunuri de uz casnic,háztartási cikkek
household_good_product,household good,product,bun de uz casnic,háztartási cikk
housekeeping_task,housekeeping,task,curățenie și întreținere,házvezetés
housing_task,housing,task,locuințe,lakhatás
human_knowledge_domain,human,knowledge_domain,uman,emberi
human,human,population,om,ember
human_resources,human resources,knowledge_domain,resurse umane,humánerőforrás
humanitarian_work_object,humanitarian,work_object,umanitar,humanitárius
humans,humans,population,oameni,emberek
husbandry,husbandry,task,creșterea animalelor,állattenyésztés
hydraulic_industry,hydraulic,industry,hidraulică,hidraulikaipar
hydroelectric_industry,hydroelectric,industry,hidroelectric,vízerőipar
hydrogenation_task,hydrogenation,task,hidrogenare,hidrogénezés
hydrographic_industry,hydrographic,industry,hidrografic,hidrográfiai ipar
hydropower_work_object,hydropower,work_object,hidroenergie,vízenergia
ice_knowledge_domain,ice,knowledge_domain,gheață,jég
ice_skating_task,ice-skating,task,patinaj pe gheață,korcsolyázás
ict_knowledge_domain,ict,knowledge_domain,TIC,IKT
idiophone_knowledge_domain,idiophone,knowledge_domain,idiofon,idiofon hangszer
immigration_task,immigration,task,imigrare,bevándorlás
import,import,task,import,import
incinerator_work_object,incinerator,work_object,incinerator,hulladékégető
inclusion_task,inclusion,task,incluziune,inklúzió
industrial,industrial,industry,industrial,ipari
industry_product,industry,product,produs industrial,ipari termék
infant,infant,population,sugari,csecsemők
infants,infants,population,sugari,csecsemők
informatics_industry,informatic,industry,informatică,informatikai ipar
information,information,knowledge_domain,informații,információ
infrastructure_work_object,infrastructure,work_object,infrastructură,infrastruktúra
injection_task,injection,task,injectare,fröccsöntés
inland_water_industry,inland water,industry,ape interioare,belvízi ipar
innovation_task,innovation,task,inovare,innováció
insemination_task,insemination,task,inseminare,mesterséges megtermékenyítés
inspection,inspection,task,inspecție,ellenőrzés
installation,installation,task,instalare,telepítés
institution_task,institution,task,instituție,intézményi feladat
instructional_industry,instructional,industry,instruire,oktatástechnológia
instrument_product,instrument,product,instrument,műszer
instrument_task,instrument,task,instrumentare,műszerezés
instrument_work_object,instrument,work_object,instrument,műszer
instrumentation_task,instrumentation,task,instrumentație,műszerezettség
instruments_product,instruments,product,instrumente,műszerek
instruments_work_object,instruments,work_object,instrumente,műszerek
insulating_task,insulating,task,izolare,szigetelés
insulation_task,insulation,task,izolație,szigetelés
insurance,insurance,industry,asigurări,biztosítás
integrated_work_object,integrated,work_object,sistem integrat,integrált rendszer
integration,integration,task,integrare,integráció
intellectual_industry,intellectual,industry,proprietate intelectuală,szellemi tulajdonjog
intelligence_knowledge_domain,intelligence,knowledge_domain,inteligență artificială,mesterséges intelligencia
intelligence_work_object,intelligence,work_object,sistem de inteligență,intelligens rendszer
intelligent_work_object,intelligent,work_object,inteligent,intelligens
intercultural_industry,intercultural,industry,intercultural,interkulturális
interest_group_industry,interest group,industry,grup de interese,érdekképviseleti ipar
interior,interior,industry,design interior,belsőépítészet
intermodal_industry,intermodal,industry,transport intermodal,intermodális ipar
international_industry,international,industry,internațional,nemzetközi
interpretation_task,interpretation,task,interpretare,tolmácsolás
inventory_industry,inventory,industry,gestiune stocuri,leltárkezelés
investment,investment,industry,investiții,befektetési ipar
iot_knowledge_domain,iot,knowledge_domain,IoT,IoT
ironwork_industry,ironwork,industry,confecții metalice,fémszerkezet-gyártás
irrigation_task,irrigation,task,irigații,öntözés
issuing_task,issuing,task,emitere,kibocsátás
it_knowledge_domain,it,knowledge_domain,IT,IT
itinerant_knowledge_domain,itinerant,knowledge_domain,itinerant,utazó
jewellery_knowledge_domain,jewellery,knowledge_domain,bijuterii,ékszerészet
jewellery_product,jewellery,product,bijuterie,ékszer
jewellery_work_object,jewellery,work_object,bijuterii,ékszerek
jewelry_product,jewelry,product,bijuterie,ékszer
journalism,journalism,task,jurnalism,újságírás
judicial,judicial,industry,judiciar,igazságügyi
jury_work_object,jury,work_object,juriu,esküdtszék
juvenile_industry,juvenile,industry,juvenil,ifjúsági
kennel_work_object,kennel,work_object,canisă,kutyaól
kettle_work_object,kettle,work_object,ceainic,vízforraló
keyboard_knowledge_domain,keyboard,knowledge_domain,claviatură,billentyűzet
kiln_work_object,kiln,work_object,cuptor,kemence
kitchen,kitchen,venue,bucătărie,konyha
knitting_task,knitting,task,tricotare,kötés
knowledge_knowledge_domain,knowledge,knowledge_domain,cunoștințe,tudás
knowledge_work_object,knowledge,work_object,cunoștințe,tudás
lab,lab,venue,laborator,labor
laboratory,laboratory,venue,laborator,laboratórium
labour_task,labour,task,muncă fizică,fizikai munka
lacquer_work_object,lacquer,work_object,lac,lakk
lacquer_spray_gun_work_object,lacquer spray gun,work_object,pistol de pulverizare lac,lakkszóró pisztoly
laminating_task,laminating,task,laminare,laminálás
land_work_object,land,work_object,teren,föld
land_based_work_object,land based,work_object,terestru,szárazföldi
land_based_machinery_work_object,land based machinery,work_object,utilaje terestre,szárazföldi gépek
landfill_work_object,landfill,work_object,depozit de deșeuri,hulladéklerakó
landscape_work_object,landscape,work_object,peisaj,taj
language,language,knowledge_domain,limbi,nyelvészet
languages,languages,knowledge_domain,limbi străine,nyelvek
laser_work_object,laser,work_object,laser,lézer
laser_beam_work_object,laser beam,work_object,fascicul laser,lézersugár
lasting_task,lasting,task,tragere pe calapod,kaptafázás
lathe_work_object,lathe,work_object,strung,eszterga
laundromat_work_object,laundromat,work_object,spălătorie automată,önkiszolgáló mosoda
laundry,laundry,venue,spălătorie,mosoda
law,law,knowledge_domain,drept,jog
layout,layout,task,machetare,tördelés
leaflet_product,leaflet,product,pliant,szórólap
lean_work_object,lean,work_object,producție lean,lean
learning,learning,task,învățare,tanulás
leasing_task,leasing,task,leasing,lízing
level_noop,level,noop,nivelare,szintezés
library_industry,library,industry,biblioteci,könyvtári ipar
licensing_task,licensing,task,licențiere,engedélyezés
life_knowledge_domain,life,knowledge_domain,științele vieții,élettudományok
lifeguard_knowledge_domain,lifeguard,knowledge_domain,salvamar,vízimentés
lift_work_object,lift,work_object,lift,lifttel
light_board_work_object,light board,work_object,pupitru de lumini,fénypult
light_motor_product,light motor,product,motor ușor,könnyűmotor
lighting_product,lighting,product,iluminat,világítás
lighting_task,lighting,task,iluminat,világítástechnika
lime_kiln_work_object,lime kiln,work_object,cuptor de var,mészégető kemence
line_work_object,line,work_object,linie,vonal
linen_work_object,linen,work_object,in,vászon
linguistics_knowledge_domain,linguistic,knowledge_domain,lingvistică,nyelvészet
liquid_fuel_work_object,liquid fuel,work_object,combustibil lichid,folyékony üzemanyag
liquid_waste_work_object,liquid waste,work_object,deșeuri lichide,folyékony hulladék
liquor_work_object,liquor,work_object,băuturi spirtoase,égetett szesz
list_task,list,task,listare,listázás
literacy,literacy,knowledge_domain,alfabetizare,írás-olvasási készség
literary_industry,literary,industry,literar,irodalmi ipar
literature_knowledge_domain,literature,knowledge_domain,literatură,irodalom
live_industry,live,industry,evenimente live,élő rendezvényipar
livestock,livestock,population,șeptel,haszonállatok
loan_work_object,loan,work_object,împrumut,hitel
location_task,location,task,locație,helyszínkezelés
locker_work_object,locker,work_object,vestiar,dulap
logistics,logistics,industry,logistică,logisztika
lottery_work_object,lottery,work_object,loterie,lottó
lumber_work_object,lumber,work_object,cherestea,fűrészáru



concept_id,canonical,dimension,ro,hu
machine_product,machine,product,mașină,gép
machine_task,machine,task,prelucrare mecanică,gépi megmunkálás
machine_work_object,machine,work_object,mașină,gép
machine_tool_knowledge_domain,machine tool,knowledge_domain,mașini-unelte,szerszámgépek
machine_tool_product,machine tool,product,mașină-uneltă,szerszámgép
machinery_knowledge_domain,machinery,knowledge_domain,utilaje industriale,gépesítés
machinery_product,machinery,product,utilaj,gépalkatrész
machinery_work_object,machinery,work_object,utilaje,gépezet
made_up_product,made up,product,confecții,készáru
magazine_knowledge_domain,magazine,knowledge_domain,reviste,folyóiratok
mail_work_object,mail,work_object,corespondență,posta
maintenance,maintenance,task,întreținere,karbantartás
make_up_knowledge_domain,make up,knowledge_domain,machiaj,smink
making_task,making,task,fabricare,készítés
malt_work_object,malt,work_object,malț,maláta
malt_kiln_work_object,malt kiln,work_object,cuptor de malț,malátaszárító kemence
management,management,task,management,menedzsment
manual_industry,manual,industry,munca manuală,kézi ipar
manufactured_wooden_work_object,manufactured wooden,work_object,lemn prelucrat,megmunkált faáru
manufacturing,manufacturing,task,producție industrială,gyártás
marine,marine,industry,maritim,tengeri ipar
maritime_knowledge_domain,maritime,knowledge_domain,maritim,tengerészet
maritime_water_industry,maritime water,industry,ape maritime,tengeri vízi ipar
market,market,venue,piață,piac
marketing,marketing,knowledge_domain,marketing,marketing
marking_task,marking,task,marcare,jelölés
marriage_work_object,marriage,work_object,căsătorie,házasság
mask_work_object,mask,work_object,mască,maszk
massage_work_object,massage,work_object,masaj,masszázs
mastering_task,mastering,task,masterizare,masterelés
material_industry,material,industry,materiale,anyagipar
materials_product,materials,product,materiale,anyagok
materials_work_object,materials,work_object,materiale,anyagok
maternity_task,maternity,task,maternitate,anyaság
mathematics,mathematics,knowledge_domain,matematică,matematika
mattress_work_object,mattress,work_object,saltea,matrac
measure_work_object,measure,work_object,măsurătoare,mérés
measuring_task,measuring,task,măsurare,mérés
meat_knowledge_domain,meat,knowledge_domain,carne,húsipar
meat_product,meat,product,carne,hús
meat_work_object,meat,work_object,carne,hús
meat_product_knowledge_domain,meat product,knowledge_domain,produse din carne,hústermékek
meat_product_product,meat product,product,produs din carne,hústermék
mechanical,mechanical,industry,mecanic,gépészeti
mechatronics,mechatronics,industry,mecatronică,mechatronika
media,media,knowledge_domain,mass-media,média
media_knowledge_domain,media,knowledge_domain,media,média
media_product,media,product,produs media,médiatermék
medical,medical,industry,medical,orvosi
medicine,medicine,knowledge_domain,medicină,orvostudomány
membership_work_object,membership,work_object,calitate de membru,tagság
membranophone_knowledge_domain,membranophone,knowledge_domain,membranofon,membranofon hangszer
mental,mental,industry,sănătate mentală,mentális egészségügy
merger_knowledge_domain,merger,knowledge_domain,fuziuni,fúziók
metal_industry,metal,industry,metalurgie,fémipar
metallurgical_industry,metallurgical,industry,metalurgic,kohászati
metalworking_task,metalworking,task,prelucrare mecanică a metalelor,fémmegmunkálás
meteorology_knowledge_domain,meteorology,knowledge_domain,meteorologie,meteorológia
meter_product,meter,product,contor,mérőóra
meter_work_object,meter,work_object,contor,mérőóra
meters_product,meters,product,contoare,mérőórák
meters_work_object,meters,work_object,contoare,mérőórák
metrology_knowledge_domain,metrology,knowledge_domain,metrologie,méréstan
microelectronics,microelectronics,knowledge_domain,microelectronică,mikroelektronika
microsystem_knowledge_domain,microsystem,knowledge_domain,microsisteme,mikrorendszerek
microsystem_work_object,microsystem,work_object,microsistem,mikrorendszer
middle_knowledge_domain,middle,knowledge_domain,gimnaziu,középfok
midwifery_knowledge_domain,midwifery,knowledge_domain,moașărie,szülészet
migrant_industry,migrant,industry,migrație,migrációs szektor
military,military,industry,militar,katonai
milk_work_object,milk,work_object,lapte,tej
milk_heat_work_object,milk heat,work_object,încălzire a laptelui,tejmelegítés
mill,mill,venue,moară,malom
milling_task,milling,task,frezare,marás
mine,mine,venue,mină,bánya
mineral_industry,mineral,industry,minerale,ásványipar
miniature_task,miniature,task,miniatură,miniatúra
mining,mining,industry,minerit,bányászat
mobile,mobile,industry,telefonie mobilă,mobilipar
mobility_task,mobility,task,mobilitate,mobilitás
modelling_task,modelling,task,modelare,modellezés
modern_knowledge_domain,modern,knowledge_domain,modern,modern
mollusc_knowledge_domain,mollusc,knowledge_domain,moluște,puhatestűek
mollusc_product,mollusc,product,moluscă,puhatestű
monitoring_task,monitoring,task,monitorizare,monitoring
montessori_knowledge_domain,montessori,knowledge_domain,Montessori,Montessori
mooring,mooring,task,amflare,kikötés
mortgage_work_object,mortgage,work_object,ipotecă,jelzálog
mortgage_loan_work_object,mortgage loan,work_object,împrumut ipotecar,jelzáloghitel
motion_knowledge_domain,motion,knowledge_domain,cinematică,mozgástan
motion_product,motion,product,control al mișcării,mozgásvezérlő
motion_task,motion,task,mișcare,mozgás
motor_product,motor,product,motor,motor
motor_work_object,motor,work_object,motor,motor
motor_vehicle_work_object,motor vehicle,work_object,autovehicul,gépjármű
motor_vehicle_aftersale_work_object,motor vehicle aftersale,work_object,servicii post-vânzare autovehicule,gépjármű értékesítés utáni szerviz
motor_vehicle_part_work_object,motor vehicle part,work_object,piesă auto,gépjárműalkatrész
motorcycle_knowledge_domain,motorcycle,knowledge_domain,motociclete,motorkerékpárok
motorcycle_work_object,motorcycle,work_object,motocicletă,motorkerékpár
mould_task,mould,task,matrițare,formázás
moulding,moulding,task,turnare în matriță,öntőformázás
mountain_work_object,mountain,work_object,munte,hegy
move_work_object,move,work_object,mutare,mozgatás
movie_product,movie,product,film,film
moving_task,moving,task,mutare,költöztetés
multimedia_product,multimedia,product,multimedia,multimédia
museum_knowledge_domain,museum,knowledge_domain,muzeologie,múzeumtan
music,music,knowledge_domain,muzică,zene
musical,musical,knowledge_domain,muzical,zenei
mutual_industry,mutual,industry,societăți mutuale,kölcsönös biztosítóipar
nailing_task,nailing,task,batere în cuie,szögezés
natural_industry,natural,industry,resurse naturale,természetes anyagok ipara
nature_task,nature,task,protecția naturii,természetvédelem
naval_industry,naval,industry,naval,haditengerészeti
navy_work_object,navy,work_object,marină militară,haditengerészet
needs_population,needs,population,persoane cu nevoi speciale,speciális szükségletűek
net_task,net,task,rețea,hálózat
network_product,network,product,echipament de rețea,hálózati termék
network_work_object,network,work_object,rețea,hálózat
networks_product,networks,product,rețele,hálózatok
networks_work_object,networks,work_object,rețele,hálózatok
new_knowledge_domain,new,knowledge_domain,nou,új
newspaper_knowledge_domain,newspaper,knowledge_domain,ziare,újságírás
nibbling_task,nibbling,task,ronțuire,roncsoló vágás
night_work_object,night,work_object,noapte,éjszaka
nitrator_work_object,nitrator,work_object,nitrator,nitráló
nitroglycerin_separator_work_object,nitroglycerin separator,work_object,separator de nitroglicerină,nitroglicerin-szétválasztó
non_knowledge_domain,non,knowledge_domain,neclasificat,nem besorolt
non_work_object,non,work_object,non,nem
non_vessel_task,non vessel,task,transport non-maritim,hajó nélküli fuvarozás
non_destructive_industry,non-destructive,industry,testare nedistructivă,roncsolásmentes vizsgálat
nonwoven_work_object,nonwoven,work_object,material nețesut,nem szőtt textília
nonwoven_staple_work_object,nonwoven staple,work_object,fibră nețesută,nem szőtt elemi szál
nonwoven_textile_work_object,nonwoven textile,work_object,textil nețesut,nem szőtt textil
nuclear,nuclear,industry,nuclear,nuclearis
numerical_industry,numerical,industry,comandă numerică,numerikus ipar
nursery_knowledge_domain,nursery,knowledge_domain,creșă,bölcsőde
nursing,nursing,knowledge_domain,asistență medicală,ápolástan
occupational,occupational,industry,ocupațional,foglalkozási
offending_task,offending,task,prevenire infracțiuni,bűnelkövetés-kezelés
office,office,venue,birou,iroda
offset_work_object,offset,work_object,tipar offset,offszet
offshore_work_object,offshore,work_object,offshore,offshore
oil_work_object,oil,work_object,petrol,olaj
oil_refinery_work_object,oil refinery,work_object,rafinărie de petrol,olajfinomító
older_industry,older,industry,geriatrie,időskorúak ipara
online,online,channel,online,online
onshore_wind_work_object,onshore wind,work_object,energie eoliană terestră,szárazföldi szélenergia
operating_task,operating,task,operare,üzemeltetés
