family_node_id	family_label	role_heads	authority_levels	venue	channel	product	population	task	industry	knowledge_domain	work_object	residual_policy
15006	Building And Housekeeping Supervisors	butler|caretaker|housekeeper|operator|sitter|supervisor|verger	none|supervisor	hotel|house			guests	building			bed_work_object|breakfast_work_object	specific
15010	Other Personal Services Workers	astrologer|attendant|breeder|companion|consultant|director|embalmer|escort|groomer|guide|handler|host|hostess|instructor|leader|medium|pedicure|psychic|sitter|supervisor|teller|trainer|worker|zookeeper	none	club|shelter|zoo			animal|pet	care|driving|service|services	road|transport	bus_knowledge_domain|car_knowledge_domain|dog_knowledge_domain|horse_knowledge_domain|motorcycle_knowledge_domain|vessel_knowledge_domain	cattle_work_object|cemetery_work_object|kennel_work_object|truck_work_object	residual_when_no_specific_family
15018	Street And Market Salespersons	vendor	none	market			customer				street_food_work_object	specific
15021	Shop Salespersons	adviser|agent|assistant|dealer|entrepreneur|hand|processor|seller|shopper|supervisor	none|supervisor	garden|shop	retail	ammunition_product|appliances_product|audio_product|bakery_product|beverages_product|bookshop_product|car_product|clothing_product|computer_product|confectionery_product|cosmetics_product|delicatessen_product|equipment_product|eyewear_product|fish_product|floor_product|flower_product|food_product|fruit_product|furniture_product|games_product|goods_product|hardware_product|jewellery_product|leather_product|materials_product|meat_product|meat_product_product|multimedia_product|paint_product|perfume_product|seafood_product|shoe_product|software_product|stationery_product|supply_product|textile_product|tobacco_product|toy_product|vegetable_product|video_product|wall_product	customer|pet	building|sales	automotive|medical|press_industry|specialised	music|telecommunications	antique_work_object|checkout_work_object|motor_vehicle_part_work_object|second_work_object	specific
15025	Cashiers And Ticket Clerks	cashier|clerk	none	shop			customer|passenger	ticket_task	transport			specific
15027	Other Sales Workers	agent|demonstrator|leader|manager|model|representative|seller|worker	none|supervisor	office|restaurant	call_centre	car_product|disk_product|door_product|equipment_product|fuel_product|goods_product|household_good_product|light_motor_product|machinery_product|sports_product|tangible_product|tape_product|vehicle_product|vehicles_product|video_product|water_product	customer	quick_task|rental|sales|service	agricultural|aviation|civil|construction|fashion|specialised|team_industry|transport	art|engineering	truck_work_object	residual_when_no_specific_family
15036	Child Care Workers And Teachers Aides	assistant|attendant|babysitter|nanny|pair|worker	assistant|none	home|primary_school|school|secondary_school			child|early_years_population|pupil|special_educational_needs	care|day_task|teaching	road|transport			specific
15039	Personal Care Workers In Health Services	aide|assistant|nurse|phlebotomist|porter|technician	assistant|none	home|hospital			patient	care|services|support|work	health|healthcare		sterile_work_object	specific
15044	Protective Services Workers	bodyguard|consultant|controller|firefighter|guard|inspector|investigator|keeper|marshaller|officer|operator|supervisor|warden|worker	none	airport|facility|mine|prison			animal|animals|passengers	rescue|response|safety|security	aviation|civil|correctional|emergency_industry|hospitality|industrial|juvenile_industry|marine|public|road|transport|welfare		armoured_car_work_object|coastguard_watch_work_object|crowd_work_object|gate_work_object|pump_work_object|security_alarm_work_object	specific
15052	Market Gardeners And Crop Growers	arboriculturist|farmer|groundsman|landscaper|leader|manager|master|operator|supervisor|surgeon|worker	none|supervisor	cellar|farm|garden|vineyard				horticulture_task|production	agriculture|crop_industry|interior|team_industry		machinery_work_object	specific
15057	Animal Producers	breeder|manager|producer|sexer|shepherd	none|supervisor	facility|farm|yard			animal|animals|equine				bee_work_object|cattle_work_object|fur_work_object|pig_work_object|poultry_work_object|sheep_work_object	specific
15062	Mixed Crop And Animal Producers	farmer|manager	manager|none	farm			animals		agriculture			specific
15065	Forestry And Related Workers	ranger|worker	none						forestry		forest_work_object	specific
15067	Fishery Workers Hunters And Trappers	boatman|boatmaster|hunter|manager|master|technician|worker	none|supervisor	hatchery|site			animals	husbandry|mooring	aquaculture|deep_sea_industry|fisheries|transport		cage_work_object|water_based_work_object	specific
15083	Building Frame And Related Trades Workers	assembler|bricklayer|builder|carpenter|engraver|finisher|installer|maker|scaffolder|setter|steeplejack|stonemason|worker	none	house|kitchen|site				building	construction		brick_work_object|door_work_object|fireplace_work_object|frame_work_object|manufactured_wooden_work_object|staircase_work_object|stone_work_object|tent_work_object|unit_work_object|window_work_object	specific
15090	Building Finishers And Related Trades Workers	finisher|fitter|glazier|installer|layer|operative|plasterer|plumber|roofer|servicer|sewer|technician|worker	none	site				maintenance|repair|service	construction		bathroom_work_object|drain_work_object|gas_work_object|plate_glass_work_object|sewerage_network_work_object|sprinkler_work_object|system_work_object|tile_work_object|water_based_work_object|water_network_work_object	specific
15098	Painters Building Structure Cleaners And Related Trades Workers	cleaner|operator|painter|paperhanger|supervisor|sweep|worker	none|supervisor	site				asbesto_task|building|treatment	construction|marine|transport		lacquer_spray_gun_work_object|surface_work_object	specific
15103	Sheet And Structural Metal Workers Moulders And Welders And Related Workers	assembler|boilermaker|brazier|coordinator|coppersmith|ironworker|moulder|mouldmaker|operative|rigger|riveter|scaffolder|shipwright|solderer|stagehand|supervisor|welder|worker	none	plant|workshop_venue				coquille_task|mould_task|welding	event|sheet_industry|transport		boat_work_object|container_work_object|electron_beam_work_object|equipment_work_object|foundry_work_object|high_work_object|laser_beam_work_object|pipe_work_object|spot_work_object	specific
15109	Blacksmiths Toolmakers And Related Trades Workers	blacksmith|cutter|farrier|fitter|grinder|gunsmith|locksmith|machinist|maker|mechanic|operative|operator|planer|polisher|turner|worker	none	plant|workshop_venue				control|cutting|drop_task|machine_task|mould_task|moulding|treatment	mechanical|press_industry		chain_work_object|computer_work_object|die_work_object|drill_work_object|furnace_work_object|gear_work_object|heat_work_object|laser_work_object|lathe_work_object|machine_work_object|oxy_fuel_work_object|plasma_work_object|press_work_object|punch_work_object|router_work_object|screw_work_object|spark_work_object|thread_work_object|water_based_work_object	specific
15114	Machinery Mechanics And Repairers	assistant|attendant|coachbuilder|coordinator|engineer|fitter|greaser|installer|mechanic|repairer|specialist|supervisor|technician	none|supervisor	plant|workshop_venue				de_icer|maintenance|moulding|overhaul|repair|service	agricultural|automotive|aviation|construction|fisheries|forestry|industrial|marine|mining|mobile|road|transport	aircraft_engine_knowledge_domain	aircraft_work_object|bicycle_work_object|brake_work_object|crane_work_object|diesel_work_object|engine_work_object|equipment_work_object|fluid_power_work_object|forge_work_object|gas_turbine_work_object|land_work_object|machine_work_object|machinery_work_object|roadside_work_object|systems_work_object|textile_work_object|tool_work_object|truck_work_object|tyre_work_object|vehicle_work_object	specific
15120	Handicraft Workers	assembler|basketmaker|beveller|blower|builder|caster|cutter|engraver|goldsmith|hand|jeweller|knitter|maker|moulder|mounter|painter|papermaker|polisher|potter|repairer|restorer|setter|silversmith|technician|toymaker|watchmaker|weaver|woodcarver|worker	none	studio|workshop_venue			customers	net_task|production|repair	sports	musical|sign	brick_work_object|brush_work_object|candle_work_object|carpet_handicraft_work_object|clock_work_object|craft_work_object|equipment_work_object|filigree_work_object|guitar_work_object|harp_work_object|harpsichord_work_object|instrument_work_object|jewellery_work_object|organ_work_object|piano_work_object|porcelain_work_object|pottery_work_object|precious_work_object|stone_work_object|violin_work_object|watch_work_object|wicker_furniture_work_object	specific
15130	Printing Trades Workers	imagesetter|lithographer|operator|printer|restorer|technician|typesetter	none	room|shop				printing	digital		bindery_work_object|book_work_object|gravure_work_object|hot_foil_work_object|offset_work_object|paper_work_object|prepress_work_object|press_work_object|print_work_object|reprographics_work_object|screen_work_object|sewing_machine|textile_work_object	specific
15135	Electrical Equipment Installers And Repairers	electrician|installer|jointer|mechanic|officer|operator|technician|worker	none	mine|park|railway	distribution		customers	building|maintenance|repair	automotive|electrical|energy|event|industrial|marine|mining|road|solar|transport		appliances_work_object|battery_work_object|electricity_work_object|household_work_object|lift_work_object|meter_work_object|overhead_line_work_object|power_work_object|ski_lift_work_object|theme_work_object|tool_work_object	specific
15139	Electronics And Telecommunications Installers And Repairers	installer|maintainer|repairer|technician	none	home|office|railway|site	phone		customers	repair	aviation|electronic|marine|mobile|transport	communications|electronics|telecommunications	atm_work_object|avionics_work_object|computer_work_object|consumer_work_object|devices_work_object|equipment_work_object|fibre_work_object|hardware_work_object|radio_work_object|security_alarm_work_object|smart_work_object|tramway_work_object|vehicle_work_object	specific
15143	Food Processing And Related Trades Workers	baker|butcher|chocolatier|confectioner|controller|cutter|grader|maker|master|operator|presser|roaster|slaughterer|sorter|taster|tier|trimmer|worker	none	farm|mill|plant|reception|room|shop			customers	process	coffee_industry|dairy		fish_work_object|malt_work_object|meat_work_object|milk_work_object|oil_work_object|pastry_work_object	specific
15150	Wood Treaters Cabinet Makers And Related Trades Workers	cooper|finisher|maker|model|operator|reproducer|restorer|sander|treater|woodturner|worker	none	factory|workshop_venue			customers				antique_work_object|cabinet_work_object|kiln_work_object|machine_work_object|wood_pallet_work_object|wood_work_object|wooden_furniture_work_object	specific
15154	Garment And Related Trades Workers	cutter|developer|dressmaker|embroiderer|grader|hand|machinist|maker|manufacturer|milliner|operator|patternmaker|prototyper|repairer|sewer|shoemaker|sorter|stitcher|tailor|tanner|technician|upholsterer|worker	none	factory|railway|studio|workshop_venue		made_up_product	customers	apparel_task|cutting|finishing|sewing	automotive|aviation|digital|interior|marine	cad	aircraft_work_object|bespoke_footwear_work_object|doll_work_object|footwear_3d_work_object|footwear_work_object|glove_work_object|hairpiece_work_object|hide_work_object|leather_good_work_object|wig_work_object	specific
15161	Other Craft And Related Workers	controller|diver|driver|grader|inspector|operator|shotfirer|specialist|sprayer|technician|tester|worker	none	plant|railway|site|workshop_venue			customers	assembly|control|inspection|management|pest_task|quality|quality_assurance|rescue|test|testing	automotive|aviation|commercial|construction|electrical|road|transport	electronics|non_knowledge_domain	aircraft_work_object|automated_work_object|battery_work_object|board_work_object|cigar_work_object|circuit_work_object|consumer_good_work_object|device_work_object|equipment_work_object|harvest_work_object|lumber_work_object|motor_vehicle_work_object|panel_work_object|pesticide_work_object|printed_work_object|product_work_object|textile_work_object|veneer_work_object|vessel_work_object	residual_when_no_specific_family
15169	Mining And Mineral Processing Plant Operators	derrickhand|digger|driller|maker|miner|mixer|motorhand|moulder|operator|planer|polisher|pusher|roughneck|roustabout|splitter|technician	none	mine|plant|site				process|processing	cell_industry|construction|mining|mobile|transport		asphalt_work_object|block_work_object|concrete_product_work_object|drill_work_object|equipment_work_object|machine_work_object|pipeline_work_object|precast_work_object|pump_work_object|slate_work_object|stone_work_object|tunnel_work_object|underground_heavy_work_object	specific
15174	Metal Processing And Finishing Plant Operators	annealer|caster|enameller|grinder|maker|operator|rustproofer	none	mill|plant|workshop_venue				blasting			dip_work_object|machine_work_object|surface_work_object|tank_work_object|wire_work_object	specific
15177	Chemical And Photographic Products Plant And Machine Operators	attendant|bleacher|blender|chipper|developer|fermenter|gauger|maker|mixer|neutraliser|operator	none	mine|plant|room				control|digestion|machine_task|process|production|pyrotechnics_task	chemical		capsule_work_object|cosmetics_work_object|fertiliser_work_object|furnace_work_object|granulator_work_object|lacquer_work_object|lime_kiln_work_object|machine_work_object|nitrator_work_object|nitroglycerin_separator_work_object|nonwoven_work_object|perfume_work_object|pesticide_work_object|picture_film_work_object|pill_work_object|plodder_work_object|soap_drier_work_object|soap_tower_work_object|soap_work_object|varnish_work_object	specific
15180	Rubber Plastic And Paper Products Machine Operators	assembler|builder|coverer|cutter|finisher|laminator|maker|mixer|operator|tender|vulcaniser|winder	none	factory				cutting|machine_task|mould_task|moulding|treatment			absorbent_pad_work_object|belt_mould_work_object|belt_work_object|blow_work_object|cake_work_object|corrugator_work_object|disc_work_object|envelope_work_object|equipment_work_object|fibreglass_work_object|foam_rubber_work_object|furniture_work_object|heat_work_object|machine_work_object|paper_bag_work_object|paper_stationery_work_object|paper_work_object|paperboard_product_work_object|press_work_object|record_work_object|rubber_good_work_object|rubber_product_work_object|rubber_work_object|tissue_paper_work_object|tyre_work_object|v_belt_work_object|vacuum_work_object	specific
15184	Textile Fur And Leather Products Machine Operators	assembler|dyer|ironer|machinist|manufacturer|operator|spinner|supervisor|technician|worker	none	factory|laundry		made_up_product		apparel_task|cutting|finishing|machine_task|maintenance|process|production|sample_task|sampling			automated_work_object|canva_good_work_object|colour_work_object|cotton_gin_work_object|embroidery_work_object|footwear_work_object|fur_work_object|heel_work_object|leather_good_work_object|leather_work_object|machine_work_object|mattress_work_object|nonwoven_staple_work_object|nonwoven_textile_work_object|pre_work_object|sewing_machine|sole_work_object|textile_pattern_work_object|textile_work_object	specific
15193	Food And Related Products Machine Operators	attendant|blender|canner|clarifier|cleaner|distiller|extractor|fermenter|filler|grinder|manufacturer|miller|mixer|operator|roaster|technician|tender|tester|worker	none	cellar|house|mill|plant			animal	canning|fat_task|machine_task|manufacturing|moulding|process|processing|production|treatment	coffee_industry|dairy		beverage_work_object|brew_work_object|bulk_work_object|cacao_bean_work_object|candy_work_object|centrifuge_work_object|chocolate_work_object|cider_work_object|cigarette_work_object|cocoa_work_object|distillery_work_object|dryer_work_object|extract_work_object|feed_work_object|fish_work_object|flour_purifier_work_object|food_work_object|fruit_work_object|kettle_work_object|liquor_work_object|machine_work_object|malt_kiln_work_object|milk_heat_work_object|pasta_work_object|prepared_meat_work_object|press_work_object|sauce_work_object|starch_work_object|sugar_refinery_work_object|wine_work_object	specific
15195	Wood Processing And Papermaking Plant Operators	bleacher|chipper|operator|pelletiser|planer|technician	none	mill|plant				moulding|process			band_saw_work_object|crosscut_saw_work_object|debarker_work_object|digester_work_object|engineered_wood_board_work_object|froth_work_object|machine_work_object|paper_pulp_work_object|paper_work_object|pulp_work_object|router_work_object|sawmill_work_object|table_saw_work_object|veneer_slicer_work_object|wash_work_object|wood_work_object	specific
15198	Other Stationary Plant And Machine Operators	annealer|brander|burner|caster|filler|firer|operator|polisher|tender	none	factory|plant|room				canning|finishing|machine_task			auger_work_object|boiler_work_object|brick_work_object|clay_product_dry_kiln_work_object|cylinder_work_object|dry_work_object|edge_bander_work_object|fibre_machine_work_object|footwear_work_object|glass_work_object|heat_work_object|kiln_work_object|leather_good_work_object|line_work_object|machine_work_object|press_work_object|slitter_work_object|steam_work_object|tile_work_object|tunnel_kiln_work_object	residual_when_no_specific_family
15204	Assemblers	assembler|maker|operator|processor	none	factory|railway|workshop_venue				assembly|control|installation	aviation|electrical|electronic|industrial|mechatronics|medical|road|transport	electronics|musical|technology	aircraft_work_object|ammunition_work_object|battery_work_object|bicycle_work_object|board_work_object|body_work_object|cable_work_object|circuit_work_object|device_work_object|engine_work_object|equipment_work_object|firework_work_object|furniture_work_object|instrument_work_object|jewellery_work_object|machine_work_object|machinery_work_object|motor_vehicle_part_work_object|motor_vehicle_work_object|motorcycle_work_object|panel_work_object|printed_work_object|rubber_good_work_object|surface_mount_work_object|vessel_work_object|wave_work_object|wire_harness_work_object|wood_product_work_object	specific
15209	Locomotive Engine Drivers And Related Workers	dispatcher|driver|preparer|shunter|signalperson|switchperson	none	railway|yard			passengers	level_task	transport		train_work_object	specific
15212	Car Van And Motorcycle Drivers	chauffeur|courier|driver|person|valet	none		distribution		customer|passenger|patient	delivery|services|van_task	automotive|private|road|transport		armoured_car_work_object|hearse_work_object|taxi_work_object	specific
15215	Heavy Truck And Bus Drivers	chauffeur|driver|operator|transporter	none				animal|animals|passengers	dangerou_good_task|service	road|transport		aircraft_work_object|cargo_vehicle_work_object|concrete_work_object|fire_work_object|fuel_work_object|pump_work_object|refuse_vehicle_work_object|system_work_object|tow_truck_work_object|tram_work_object|trolley_bus_work_object|truck_work_object|vehicle_work_object	specific
15218	Mobile Plant Operators	controller|grader|operator|supervisor|worker	none|supervisor	mine|plant|site|warehouse				driving|production|snow_task	construction|forestry|mining|mobile|road|transport		automated_cable_vehicle_work_object|bulldozer_work_object|container_work_object|crane_work_object|dredge_work_object|equipment_work_object|excavator_work_object|forklift_work_object|hammer_work_object|land_work_object|machinery_work_object|pile_work_object|roller_work_object|scraper_work_object|surface_work_object|tower_crane_work_object	specific
15223	Ships Deck Crews And Related Workers	boatswain|deckhand|decksman|minder|sailor|seaman	none	port				support	fisheries|transport		deck_work_object|engine_work_object	specific
15227	Domestic Hotel And Office Cleaners And Helpers	attendant|cleaner|groomer	assistant|none	hospital|hotel|office|room			guests|patients	building|help	aviation|transport		toilet_work_object|train_work_object	specific
15230	Vehicle Window Laundry And Other Hand Cleaning Workers	attendant|cleaner|presser|worker	none	facility|laundry|park|room			customers	apparel_task	road|transport		drapery_work_object|linen_work_object	specific
15236	Agricultural Forestry And Fishery Labourers	catcher|collector|groom|labourer|picker|worker	none	farm|garden|site|vineyard			animals|equine|livestock	horticulture_task|labour_task|mooring|production	agriculture|aquaculture|crop_industry|foot_industry|forestry|transport		forest_work_object	specific
15244	Mining And Construction Labourers	assistant|installer|labourer|layer|marker|worker	none	mine|site				building|labour_task|maintenance|support	civil|construction|mining|road|transport|waterway_industry	engineering|sign		specific
15248	Manufacturing Labourers	caulker|finisher|hand|packer	none	factory				manufacturing				specific
15251	Transport And Storage Labourers	courier|dispatcher|driver|filler|handler|labourer|mover|operator|packer|picker|stevedore|superintendent|worker	none	airport|centre|warehouse	distribution	goods_product	customers|passengers	baggage_task	aviation|road|transport		carriage_work_object|cargo_work_object|equipment_work_object|freight_work_object|materials_work_object|rail_work_object|shelf_work_object	specific
15257	Food Preparation Assistants	assistant|member|pizzaiolo|porter	assistant|none	kitchen|restaurant			customers	quick_task|service				specific
15261	Street And Related Service Workers	distributor|worker	none			leaflet_product		service				specific
15263	Street Vendors Excluding Food	hawker|vendor	none	market			customer					specific
15266	Refuse Workers	collector|labourer|sorter|sweeper|worker	none	facility					road|transport		refuse_work_object	specific
15270	Other Elementary Workers	attendant|doorman|handyperson|installer|operator|porter|reader|usher	none	hotel|room|site			guests	advertising			cloak_work_object|laundromat_work_object|locker_work_object|machine_work_object	residual_when_no_specific_family
