role_head,alias,note
journalist,újságíró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
judge,bíró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
justice,igazságszolgáltatás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
keeper,őrző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
kinesiologist,kineziológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
laminator,lamináló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
lawyer,ügyvéd,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
layer,réteg,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
lecturer,előadó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
lexicographer,lexikográfus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
librarian,könyvtáros,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
lieutenant,hadnagy,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
linguist,nyelvész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
lithographer,litográfus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
localiser,lokalizáló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
locksmith,lakatos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
logger,erdőmunkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
logger,favágó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
logger,metsatööline,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
lyricist,dalszövegíró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
machinist,gépész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
maintainer,hooldustöötaja,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
maintainer,karbantartó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
major,őrnagy,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
maker,készítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
manager,menedzser,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
manicurist,maniküürija,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
manicurist,manikűrös,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
manufacturer,gyártó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
marker,jelző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
marker,jelölő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
masseur,masszőr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
master,fő-,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mayor,polgármester,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mechanic,szerelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mediator,közvetítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
medium,közepes,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
medium,médiumn,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
member,tag,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
merchandiser,árukihelyező,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
merchant,kereskedő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
metallurgist,fémkohász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
metallurgist,kohász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
meteorologist,meteorológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
metrologist,metrológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
microbiologist,mikrobiológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
midwife,bába,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
midwife,szülésznő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
milliner,kübarsepp,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
minder,vigyázó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
miner,bányász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mineralogist,mineralógus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
minister,miniszter,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
missionary,misszionárius,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mixer,keverő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
model,modell,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
modeller,modellező,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
motorhand,fúrómunkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
motorhand,motoros kéz,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
motorhand,puurimistööline,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
moulder,formázó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mouldmaker,öntőformakészítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mounter,szerelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mover,költöztető,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
musician,zenész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
nanny,dajka,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
nanoengineer,nanomérnök,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
negotiator,tárgyaló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
neutraliser,semlegesítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
notary,jegyző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
notary,közjegyző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
nun,apáca,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
nurse,ápoló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
observer,megfigyelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
oceanographer,óceánográfus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
oenologist,borász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
official,hivatalos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
organiser,szervező,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
orthotist,orthotikus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
osteopath,oszteopata,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
packer,csomagoló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
painter,festő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
palaeontologist,paleontológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
paperhanger,papírfogas,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
paperhanger,tapétázó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
papermaker,papírgyártó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
paramedic,felcser,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
paramedic,mentőtiszt,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
patternmaker,mintakészítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pedagogue,pedagógus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pedicure,pedikűr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pedicurist,pediküürija,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pedicurist,pedikűrös,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pelletiser,pelletizáló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
performer,előadó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
performer,előadóművész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
person,személy,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pharmacist,gyógyszerész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pharmacologist,farmakológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
philosopher,filozófus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
photographer,fotós,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
photojournalist,fotóriporter,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
physicist,füüsik,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
physiologist,fiziológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
physiologist,füsioloog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
physiotherapist,füsioterapeut,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
physiotherapist,gyógytornász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
picker,válogató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pilot,pilóta,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pizzaiolo,pizzaszakács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
planer,gyalugép,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
plumber,vízszerelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
podiatrist,podológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
porter,hordár,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
postman,postás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
preparer,előkészítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
presenter,műsorvezető,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
presser,nyomógép,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
principal,fő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
principal,iskolaigazgató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
printer,nyomdász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
printer,trükkija,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
processor,feldolgozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
processor,töötleja,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
professional,szakmai,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
programmer,programozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
prompter,suflöör,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
prompter,súgó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
prosecutor,prokurör,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
prosecutor,ügyész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
prosthetist,protézis,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
prototyper,prototípusgyártó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
psychic,jós,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
psychic,lelki,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
psychologist,pszichológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
psychologist,psühholoog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
psychotherapist,psühhoterapeut,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
publisher,kiadó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
puppeteer,bábművész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
purchaser,beszerző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pusher,toló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pyrotechnician,pürotehnik,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
radiographer,röntgenfelvételkészítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
ranger,vadőr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
reader,olvasó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
registrar,anyakönyvvezető,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
repetiteur,ismétlő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
repetiteur,répétiteur,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
reporter,riporter,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
representative,képviselő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
reproducer,reprodukáló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
researcher,kutató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
responder,beavatkozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
responder,válaszadó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
rigger,kötélzetkezelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
riveter,szegecselő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roaster,pörkölő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roaster,röstija,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roofer,tetőfedő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roughneck,bugris,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roughneck,naftatööline,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roughneck,olajipari munkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roustabout,munkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roustabout,naftatööstuse abitööline,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roustabout,olajipari segédmunkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
rustproofer,rozsdamentesítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
rustproofer,rozsdaálló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sailor,tengerész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sander,csiszológép,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
scaffolder,állványozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
scaffolder,állványzat,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
scheduler,ütemező,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
scientist,tudós,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
scopist,szkopista,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
screener,átvilágító,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sculptor,szobrász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
seaman,tengerész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
secretary,titkár,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
seismologist,szeizmológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
seller,eladó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
senator,szenátor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sergeant,őrmester,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
servicer,szervizes,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
setter,szetter,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sewer,szennyvízcsatorna,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shepherd,juhász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shepherd,pásztor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shipbroker,hajóközvetítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shipbroker,hajóügynök,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shipwright,hajóács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shoemaker,cipész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shopper,vásárló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shotfirer,lövöldözős,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shotfirer,robbantó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shunter,manööverdaja,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shunter,tolató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shunter,tolatómunkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
signalperson,jelzőszemély,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
signalperson,jelzőőr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
silversmith,ezüstműves,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
singer,énekes,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sitter,felügyelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sitter,gyermekfelügyelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
skipper,kapitány,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
slaughterer,mészáros,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
smith,kovács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sociologist,szociológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
solderer,forrasztó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
soldier,katona,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sophrologist,szofrológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sorter,válogató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
speechwriter,beszédíró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
spinner,fonó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
spinner,fonógép,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
splitter,osztó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
spokesperson,szóvivő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
spokesperson,szóvivője,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sprayer,permetező,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stagehand,színpadi,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stagehand,színpadi munkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
statistician,statisztikus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
steeplejack,kõrgustöötaja,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
steeplejack,magasban dolgozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
steeplejack,meredektorony,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stevedore,kikötői rakodómunkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stevedore,rakodómunkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stevedore,sadamatööline,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stitcher,fűzőgép,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stonemason,kőfaragó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
subtitler,feliratozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
superintendent,felügyelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
superintendent,ülem,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
surgeon,sebész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
surveyor,földmérő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sweep,söpörni,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sweeper,utcaseprő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
switchperson,raudtee pöörmeseadja,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
switchperson,váltókezelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
switchperson,váltószemély,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tailor,szabó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tanner,cserző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tanner,tímár,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
taster,kóstoló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
taxidermist,kitömő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
technologist,technológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
teller,bankpénztáros,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tender,gondozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tester,tesztelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tier,szint,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
toxicologist,toxikológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
toymaker,játékkészítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
transcriptionist,leíró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
transcriptionist,átíró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
translator,fordító,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
transporter,szállítmányozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
transporter,szállító,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
treasurer,kincstárnok,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
treasurer,pénztárnok,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
treater,kezelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
trustee,megbízott,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
turner,esztergályos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tutor,magántanár,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tutor,oktató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
typesetter,betűszedő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
typesetter,szedő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
typist,gépíró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
typist,gépírónő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
upholsterer,kárpitos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
usher,ajtónálló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
usher,teremőr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
valet,inas,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
valuer,becsüs,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
vendor,árus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
verger,sekrestyés,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
veterinarian,állatorvos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
vulcaniser,vulkanizáló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
waiter,pincér,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
waitress,pincérnő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
